Identificador de URL,Costo,Precio
sonajero-platitos,556,612
CAJITA-SONAJERO-COCHECITO-FANTASIA,2541,2795
mordillo-refrigerante-color,1210,1331
mordillo-refrigerante,1185,1304
mordillo-refrigerante-hipo-equilibrista,1208,1329
mordillo-refrigerante-pato-dormilon,1208,1329
taza-con-asa-y-tapa,562,618
mordillo-refrigerante-medalla-fantasia,1191,1310
sonajero-pato-dormilon,913,1004
sonajero-hipo-equilibrista,913,1004
vaso-bebe-decorado,968,1065
vaso-bebe-cristal,968,1065
chupete-bicolor-con-tetina-latex,865,952
ASPIRADOR-NASAL-ERGONoMETRO-C-2-PICOS,1240,1364
sonajero-bolita,695,765
combo-plato-vaso-cuchara-avioncito,949,1044
taza-2-en-1,1246,1371
sonajero-bolita-fluo,701,771
chupete-decorado-con-tetina-de-latex,889,978
vaso-sorbito,895,985
tetina-boca-ancha-de-silicona-2-unidades,1512,1663
taza-3-en-1,1706,1877
juego-de-cubiertos,762,838
cuchara-avioncito,877,965
teddy-biberon-boca-ancha-250-ml,1839,2023
teddy-biberon-acinturado-con-tetina-250-ml-silicona,1391,1530
SONAJERO-COLGANTE-PARA-CUNACOCHECITO,1089,1198
combo-plato-cuchara-avioncito-taza,980,1078
PLATO-VASITO-CUBIERTOS,943,1037
teddy-biberon-tradicional-con-tetina-250-ml-silicona,1329,1462
porta-chupete-osito,871,958
porta-chupete-corazon,871,958
chupete-cristal-con-tetina-de-latex,871,958
ASPIRADOR-NASAL-ERGONoMETRO,1119,1231
chupete-bicolor-con-tetina-de-silicona,955,1050
combo-plato-cubiertos-sonajero,955,1050
VASO-ANTIDERRAME-cagarradera,1851,2036
teddy-portamamadera,968,1065
combo-plato-cuchara-avioncito-esponja,1089,1198
teddy-biberon-acinturado-con-tetina-140-ml-silicona,1331,1464
teddy-biberon-acinturado-con-tetina-140-ml-latex,1258,1384
teddy-biberon-tradicional-con-tetina-140-ml-latex,1222,1344
combo-plato-cubiertos-taza,1264,1390
sonajero-medalla-fantasia,816,898
combo-plato-vasito,816,898
teddy-biberon-acinturado-con-tetina-250-ml-latex,1306,1437
cajita-de-regalo-latex-s-bpa,2226,2449
cajita-de-regalo-c-vaso-bb-s-bpa,2226,2449
cadena-porta-chupete,865,952
teddy-biberon-tradicional-con-tetina-140-ml-silicona,1282,1410
biberon-tradicional-con-tetina-de-latex-250-ml,1270,1397
cubre-cochecito,3206,3527
protector-de-mosquitos,1694,1863
SONAJERO-CUNEROCOCHECITO-BOLITAS,1113,1224
chupete-recien-nacido-con-tetina-de-silicona-2-unidades,1476,1624
cajita-de-regalo-silicona-s-bpa,2528,2781
SONAJERO-CUNEROCOCHECITO-BOLITAS-FLUO,1137,1251
chup-total-de-silicona-anatomico,1137,1251
chupete-100-silicona-redondo,1137,1251
estuche-regalo-bano-del-bebe,2032,2235
estuche-regalo-recien-nacido-s-bpa,3496,3846
estuche-regalo-c-plato-termico-3-div,2722,2994
chupete-cristal-con-tetina-de-silicona,1046,1151
BABERO-TOWEL-GRANDE,786,865
cajita-de-regalo-estimulacion-bebe,1391,1530
TOALLON-CCAPUOCHA,3751,4126
tetina-latex-x-2-c-flujos,998,1098
tetina-tradicional-de-latex,998,1098
chupete-decorado-con-tetina-de-silicona,1010,1111
cepillos-limpiamamadera-con-mango,919,1011
PLATO-TERMICO-3-DIVISIONES,2153,2368
chupete-recien-nacido-con-tetina-latex-2-unidades,1355,1491
tetina-de-latex-1-unidad,623,685
tetina-tradicional-de-silicona-2-unidades,1064,1170
BABITAS-X-2-UNIDADES,1500,1650
Ajuar-Grande,8107,8918
Ajuar-Chico,6485,7134
estuche-regalo-c-plato-termico-sin-div,2238,2462
cambiador-plastico,1899,2089
BABERO-TOWEL-CHICO,677,745
PLATO-TeRMICO-SIN-DIVISIONES,1573,1730
BANDANA-X-1-UNIDAD,943,1037
esponja-bebe,689,758
